39111.0391,417366.4,1894
39110.4414,417367.279,3235
39110.2617,417368.52,5239
39110.8711,417367.641,7841
39111.4805,417366.75,1715
39113.7188,417366.34,16839
39113.1211,417367.211,12539
39112.5117,417368.1,11658
39111.8984,417368.98,9679
39111.3008,417369.859,58484
39110.6914,417370.75,61102
39110.4219,417372.311,64603
39111.0391,417371.42,63277
39111.6406,417370.539,57272
39112.25,417369.66,55496
39112.8516,417368.779,11091
39113.4609,417367.9,31260
39114.0703,417367.02,18660
39116.0508,417366.301,22004
39115.4414,417367.189,23748
39114.8398,417368.07,24841
39114.2305,417368.961,29143
39113.6211,417369.83,33512
39113.0195,417370.721,53272
39112.4102,417371.6,49834
39111.8008,417372.49,69754
39111.1992,417373.369,68501
39110.5898,417374.25,80166
39110.4883,417375.221,81465
39111.0898,417374.34,79372
39111.6992,417373.461,73438
39112.3086,417372.57,70629
39112.9219,417371.68,49566
39113.5313,417370.801,47705
39114.1406,417369.92,36167
39114.7383,417369.051,28728
39115.3516,417368.16,25128
39115.9609,417367.279,23377
39116.5703,417366.4,240063
39117.9414,417367.15,237826
39117.3281,417368.029,236818
39116.7188,417368.92,234978
39116.1211,417369.811,38617
39115.5195,417370.68,39966
39114.9102,417371.57,41317
39114.3008,417372.449,126046
39113.6914,417373.34,124718
39113.0898,417374.221,75153
39112.4805,417375.109,75871
39111.8789,417375.99,96709
39111.2695,417376.881,84490
39110.6602,417377.77,86641
39110.5703,417379.051,960985
39111.1914,417378.16,88982
39111.7891,417377.279,90341
39112.4102,417376.381,97621
39113.0117,417375.51,76474
39113.6211,417374.631,121026
39114.2305,417373.74,123773
39114.8398,417372.859,127906
39115.4492,417371.98,44307
39116.0508,417371.09,42484
39116.6602,417370.221,222759
39117.2617,417369.34,224280
39117.8789,417368.449,233827
39118.4805,417367.57,243290
39119.0898,417366.689,245002
39120.3398,417367.051,249144
39119.7383,417367.92,249965
39119.1289,417368.811,229883
39118.5313,417369.699,225825
39117.9219,417370.58,221414
39117.3086,417371.471,220533
39116.7109,417372.35,218374
39116.1016,417373.23,129971
39115.5,417374.109,117066
39114.8906,417374.99,117882
39114.2891,417375.881,99509
39113.6797,417376.76,101875
39113.0703,417377.65,93283
39112.4688,417378.529,92468
39111.8594,417379.42,957325
39111.25,417380.311,958710
39110.6289,417381.211,965993
39110.75,417381.939,965634
39111.3594,417381.061,964306
39111.9688,417380.17,958272
39112.5703,417379.289,956207
39113.1797,417378.41,92927
39113.8008,417377.52,102843
39114.4102,417376.631,100843
39115.0117,417375.76,113364
39115.6094,417374.881,115365
39116.2305,417373.99,116073
39116.8281,417373.109,131827
39117.4414,417372.23,217997
39118.0391,417371.35,215832
39118.6484,417370.471,227043
39119.2617,417369.58,229209
39119.8594,417368.711,251062
39120.4609,417367.83,253549
39121.0781,417366.939,248179
39122.8203,417367,263401
39122.2109,417367.881,257583
39121.6094,417368.76,255830
39121.0117,417369.641,206030
39120.3984,417370.529,205209
39119.8008,417371.4,209280
39119.1914,417372.289,213242
39118.5781,417373.18,135786
39117.9805,417374.07,144720
39117.3711,417374.949,144003
39116.7695,417375.84,147609
39116.1602,417376.721,111079
39115.5586,417377.6,107092
39114.9492,417378.49,107812
39114.3516,417379.369,943979
39113.7383,417380.26,945874
39113.1406,417381.141,954024
39112.5195,417382.029,971794
39111.9102,417382.93,974409
39111.3086,417383.811,980432
39110.6992,417384.699,982432
39110.7891,417385.689,985008
39111.3984,417384.801,979050
39112.0117,417383.91,975706
39112.6211,417383.02,972930
39113.2305,417382.141,928407
39113.8281,417381.26,949613
39114.4492,417380.369,942321
39115.0508,417379.49,940982
39115.6719,417378.6,108869
39116.2695,417377.721,109686
39116.8789,417376.83,150702
39117.4883,417375.939,148644
39118.1016,417375.061,143070
39118.6992,417374.18,140261
39119.3086,417373.301,137504
39119.9219,417372.41,191227
39120.5195,417371.529,210914
39121.1211,417370.66,204855
39121.7305,417369.779,202894
39122.3281,417368.9,256457
39122.9414,417368.02,277309
39123.5508,417367.131,263949
39125.3086,417366.93,268321
39124.6992,417367.811,270480
39124.1016,417368.689,275296
39123.5,417369.58,279301
39122.8906,417370.461,282422
39122.2813,417371.34,200145
39121.6797,417372.23,197836
39121.0703,417373.109,192159
39120.4609,417374,187396
39119.8594,417374.891,186078
39119.2383,417375.779,163731
39118.6406,417376.67,161675
39118.0313,417377.551,155735
39117.4297,417378.43,154088
39116.8203,417379.311,895131
39116.2188,417380.199,938027
39115.6094,417381.09,937296
39115,417381.98,935231
39114.3906,417382.869,926127
39113.7813,417383.76,924457
39113.1719,417384.65,977305
39112.5586,417385.539,998594
39111.9492,417386.43,996861
39111.3516,417387.311,990348
39110.7305,417388.211,988859
39110.3906,417389.5,1043952
39111.0117,417388.609,1041962
39111.6211,417387.711,992273
39112.2305,417386.83,991554
39112.8398,417385.939,999000
39113.4609,417385.051,922914
39114.0586,417384.17,924977
39114.6719,417383.279,925898
39115.2813,417382.391,930309
39115.8906,417381.5,934410
39116.5,417380.619,897243
39117.1094,417379.73,896353
39117.7188,417378.85,894365
39118.3203,417377.971,156430
39118.9297,417377.09,160715
39119.5391,417376.199,163516
39120.1406,417375.32,185485
39120.75,417374.449,187896
39121.3516,417373.561,193730
39121.9609,417372.68,192923
39122.5703,417371.789,197077
39123.1719,417370.91,282821
39123.7813,417370.029,280598
39124.3789,417369.15,274435
39124.9883,417368.27,270991
39125.6016,417367.391,269034
39126.1992,417366.51,322000
39127.7383,417366.789,324668
39127.1406,417367.68,318555
39126.5391,417368.551,317224
39125.9414,417369.43,294679
39125.3281,417370.32,291554
39124.7188,417371.211,287577
39124.1211,417372.09,285219
39123.5117,417372.98,501989
39122.9102,417373.859,503774
39122.3086,417374.74,182190
39121.7109,417375.619,178961
39121.1016,417376.5,166240
39120.5,417377.391,171632
39119.8906,417378.279,169119
39119.2891,417379.16,890350
39118.6797,417380.039,892491
