39111.0391,417366.4,-0.20999999,136568557
39110.4414,417367.279,-0.16,136444649
39110.2617,417368.52,-0.16,138385553
39110.8711,417367.641,-0.19,138276840
39111.4805,417366.75,-0.13,136512132
39113.7188,417366.34,-0.1,148480239
39113.1211,417367.211,-0.02,137012865
39112.5117,417368.1,-0.16,138078168
39111.8984,417368.98,-0.15000001,137903872
39111.3008,417369.859,-0.15000001,138612595
39110.6914,417370.75,-0.2,138538930
39110.4219,417372.311,-0.25,140517344
39111.0391,417371.42,-0.17,140362682
39111.6406,417370.539,-0.2,138721018
39112.25,417369.66,-0.18000001,138697590
39112.8516,417368.779,-0.16,138022189
39113.4609,417367.9,-0.08,147408306
39114.0703,417367.02,-0.12,148435488
39116.0508,417366.301,-0.01,148060283
39115.4414,417367.189,-0.07,147948929
39114.8398,417368.07,-0.06,147727637
39114.2305,417368.961,-0.15000001,147313606
39113.6211,417369.83,-0.14,146392480
39113.0195,417370.721,-0.17,138761969
39112.4102,417371.6,-0.18000001,140131648
39111.8008,417372.49,-0.25,260152149
39111.1992,417373.369,-0.28,262051159
39110.5898,417374.25,-0.31999999,261234384
39110.4883,417375.221,-0.31,261339500
39111.0898,417374.34,-0.28999999,261225209
39111.6992,417373.461,-0.30000001,260217084
39112.3086,417372.57,-0.20999999,262412268
39112.9219,417371.68,-0.17,140116943
39113.5313,417370.801,-0.15000001,145140460
39114.1406,417369.92,-0.09,146249402
39114.7383,417369.051,-0.14,147311426
39115.3516,417368.16,-0.09,147720355
39115.9609,417367.279,-0.08,147944253
39116.5703,417366.4,0.01,167767398
39117.9414,417367.15,-0.03,167577183
39117.3281,417368.029,-0.02,165819782
39116.7188,417368.92,-0.06,165710596
39116.1211,417369.811,-0.12,146749385
39115.5195,417370.68,-0.11,146626615
39114.9102,417371.57,-0.12,144886291
39114.3008,417372.449,-0.18000001,257679134
39113.6914,417373.34,-0.25,259983657
39113.0898,417374.221,-0.22,263894211
39112.4805,417375.109,-0.28,260893415
39111.8789,417375.99,-0.31999999,266942919
39111.2695,417376.881,-0.34999999,267960299
39110.6602,417377.77,-0.38,268303169
39110.5703,417379.051,-0.44,268460623
39111.1914,417378.16,-0.34,266426686
