39169.2617,417436.57,8785945
39169.5703,417447.75,12181609
39168.6602,417437.449,8784008
39169.75,417467.199,12503190
39167.8789,417436.52,8782046
39169.8516,417475.109,32020764
39168.1797,417463.76,12456235
39169.3086,417469.02,32182649
39168.9883,417440.66,8800644
39169.8203,417457.51,12394937
39169.6406,417464.119,12460573
39169.4297,417460.779,12438076
39169.0391,417465.0,12458628
39169.6016,417439.77,8813375
39168.3398,417449.539,12102568
39169.1992,417457.65,12395436
39169.8281,417471.67,32209892
39169.9297,417446.08,12178420
39169.9297,417468.119,12502088
39169.25,417475.98,32021593
39168.8398,417475.461,32023650
39169.6211,417440.859,8811693
39169.4883,417454.891,12078282
39169.1992,417458.41,12395776
39168.0703,417470.811,32193797
39169.4219,417461.971,12436796
39167.7305,417450.43,12101042
39169.4102,417437.221,8789611
39169.3203,417446.971,12181124
39168.2109,417476.359,32026300
39168.8711,417472.32,32196342
39169.6211,417453.439,12089191
39169.8086,417456.76,12400532
39169.2617,417444.27,12165065
